2024-02-13 18:03:08 | mitigator | INFO | Starting mitigator
2024-02-13 18:44:05 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-13 18:44:05 | mitigator | INFO | Processing file: suspicious_device_202402102340.csv
2024-02-13 18:44:05 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:41:28 | mitigator | INFO | Starting mitigator
2024-02-14 19:41:28 | mitigator | INFO | Processing file: suspicious_device_202402102330.csv
2024-02-14 19:41:29 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:41:29 | mitigator | INFO | Processing file: suspicious_device_202402102340.csv
2024-02-14 19:41:29 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:42:45 | mitigator | INFO | Starting mitigator
2024-02-14 19:42:45 | mitigator | INFO | Processing file: suspicious_device_202402102330.csv
2024-02-14 19:42:45 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:42:45 | mitigator | INFO | Processing file: suspicious_device_202402102340.csv
2024-02-14 19:42:45 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:46:54 | mitigator | INFO | Starting mitigator
2024-02-14 19:46:54 | mitigator | INFO | Processing file: suspicious_device_202402102330.csv
2024-02-14 19:46:54 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:47:02 | mitigator | INFO | Starting mitigator
2024-02-14 19:47:02 | mitigator | INFO | Processing file: suspicious_device_202402102330.csv
2024-02-14 19:47:02 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:47:02 | mitigator | INFO | Detection Simple Summary: DDoS: 8	DoS: 4	Recon: 1	
2024-02-14 19:47:02 | mitigator | INFO | Processing file: suspicious_device_202402102340.csv
2024-02-14 19:47:02 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:47:02 | mitigator | INFO | Detection Simple Summary: DDoS: 8	DoS: 4	Recon: 1	
2024-02-14 19:47:51 | mitigator | INFO | Starting mitigator
2024-02-14 19:47:51 | mitigator | INFO | Processing file: suspicious_device_202402102330.csv
2024-02-14 19:47:51 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:47:51 | mitigator | INFO | Detection Simple Summary: DDoS: 8DoS: 4Recon: 1
2024-02-14 19:47:51 | mitigator | INFO | Processing file: suspicious_device_202402102340.csv
2024-02-14 19:47:51 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:47:51 | mitigator | INFO | Detection Simple Summary: DDoS: 8DoS: 4Recon: 1
2024-02-14 19:48:00 | mitigator | INFO | Starting mitigator
2024-02-14 19:48:00 | mitigator | INFO | Processing file: suspicious_device_202402102330.csv
2024-02-14 19:48:00 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:48:00 | mitigator | INFO | Detection Simple Summary: DDoS: 8	DoS: 4	Recon: 1	
2024-02-14 19:48:00 | mitigator | INFO | Processing file: suspicious_device_202402102340.csv
2024-02-14 19:48:00 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:48:00 | mitigator | INFO | Detection Simple Summary: DDoS: 8	DoS: 4	Recon: 1	
2024-02-14 19:48:20 | mitigator | INFO | Starting mitigator
2024-02-14 19:48:20 | mitigator | INFO | Processing file: suspicious_device_202402102330.csv
2024-02-14 19:48:20 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:48:20 | mitigator | INFO | Detection Simple Summary: DDoS: 8 	DoS: 4 	Recon: 1 	
2024-02-14 19:48:20 | mitigator | INFO | Processing file: suspicious_device_202402102340.csv
2024-02-14 19:48:20 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:48:20 | mitigator | INFO | Detection Simple Summary: DDoS: 8 	DoS: 4 	Recon: 1 	
2024-02-14 19:48:30 | mitigator | INFO | Starting mitigator
2024-02-14 19:48:30 | mitigator | INFO | Processing file: suspicious_device_202402102330.csv
2024-02-14 19:48:30 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:48:30 | mitigator | INFO | Detection Simple Summary: DDoS: 8DoS: 4Recon: 1
2024-02-14 19:48:30 | mitigator | INFO | Processing file: suspicious_device_202402102340.csv
2024-02-14 19:48:30 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:48:30 | mitigator | INFO | Detection Simple Summary: DDoS: 8DoS: 4Recon: 1
2024-02-14 19:48:35 | mitigator | INFO | Starting mitigator
2024-02-14 19:48:35 | mitigator | INFO | Processing file: suspicious_device_202402102330.csv
2024-02-14 19:48:35 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:48:35 | mitigator | INFO | Detection Simple Summary: DDoS: 8 DoS: 4 Recon: 1 
2024-02-14 19:48:35 | mitigator | INFO | Processing file: suspicious_device_202402102340.csv
2024-02-14 19:48:35 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:48:35 | mitigator | INFO | Detection Simple Summary: DDoS: 8 DoS: 4 Recon: 1 
2024-02-14 19:48:41 | mitigator | INFO | Starting mitigator
2024-02-14 19:48:41 | mitigator | INFO | Processing file: suspicious_device_202402102330.csv
2024-02-14 19:48:41 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:48:41 | mitigator | INFO | Detection Simple Summary: DDoS: 8  DoS: 4  Recon: 1  
2024-02-14 19:48:41 | mitigator | INFO | Processing file: suspicious_device_202402102340.csv
2024-02-14 19:48:41 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:48:41 | mitigator | INFO | Detection Simple Summary: DDoS: 8  DoS: 4  Recon: 1  
2024-02-14 19:51:30 | mitigator | INFO | Starting mitigator
2024-02-14 19:51:30 | mitigator | INFO | Processing file: suspicious_device_202402102330.csv
2024-02-14 19:51:30 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:51:30 | mitigator | INFO | Detected potential intrusion, DDoS: 8  
2024-02-14 19:51:30 | mitigator | INFO | Detected potential intrusion, DoS: 4  
2024-02-14 19:51:30 | mitigator | INFO | Detected potential intrusion, Recon: 1  
2024-02-14 19:51:30 | mitigator | INFO | Detection Simple Summary: DDoS: 8  DoS: 4  Recon: 1  
2024-02-14 19:51:30 | mitigator | INFO | Processing file: suspicious_device_202402102340.csv
2024-02-14 19:51:30 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 19:51:30 | mitigator | INFO | Detected potential intrusion, DDoS: 8  
2024-02-14 19:51:30 | mitigator | INFO | Detected potential intrusion, DoS: 4  
2024-02-14 19:51:30 | mitigator | INFO | Detected potential intrusion, Recon: 1  
2024-02-14 19:51:30 | mitigator | INFO | Detection Simple Summary: DDoS: 8  DoS: 4  Recon: 1  
2024-02-14 20:04:57 | mitigator | INFO | Starting mitigator
2024-02-14 20:04:57 | mitigator | INFO | Processing file: suspicious_device_202402102330.csv
2024-02-14 20:04:57 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 20:04:57 | mitigator | INFO | Potential intrusion, DDoS: 8  
2024-02-14 20:04:57 | mitigator | INFO | Potential intrusion, DoS: 4  
2024-02-14 20:04:57 | mitigator | INFO | Potential intrusion, Recon: 1  
2024-02-14 20:04:57 | mitigator | INFO | Detection Simple Summary as follow, /n from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056 the device experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-02-14 20:04:57 | mitigator | INFO | Processing file: suspicious_device_202402102340.csv
2024-02-14 20:04:57 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 20:04:57 | mitigator | INFO | Potential intrusion, DDoS: 8  
2024-02-14 20:04:57 | mitigator | INFO | Potential intrusion, DoS: 4  
2024-02-14 20:04:57 | mitigator | INFO | Potential intrusion, Recon: 1  
2024-02-14 20:04:57 | mitigator | INFO | Detection Simple Summary as follow, /n from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056 the device experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-02-14 20:09:49 | mitigator | INFO | Starting mitigator
2024-02-14 20:09:49 | mitigator | INFO | Processing file: suspicious_device_202402102330.csv
2024-02-14 20:09:49 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 20:09:49 | mitigator | INFO | Potential intrusion, DDoS: 8  
2024-02-14 20:09:49 | mitigator | INFO | Potential intrusion, DoS: 4  
2024-02-14 20:09:49 | mitigator | INFO | Potential intrusion, Recon: 1  
2024-02-14 20:09:49 | mitigator | INFO | Detection Simple Summary as follow, 
 from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, the device experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-02-14 20:09:49 | mitigator | INFO | Processing file: suspicious_device_202402102340.csv
2024-02-14 20:09:49 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 20:09:49 | mitigator | INFO | Potential intrusion, DDoS: 8  
2024-02-14 20:09:49 | mitigator | INFO | Potential intrusion, DoS: 4  
2024-02-14 20:09:49 | mitigator | INFO | Potential intrusion, Recon: 1  
2024-02-14 20:09:49 | mitigator | INFO | Detection Simple Summary as follow, 
 from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, the device experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-02-14 20:09:59 | mitigator | INFO | Starting mitigator
2024-02-14 20:09:59 | mitigator | INFO | Processing file: suspicious_device_202402102330.csv
2024-02-14 20:09:59 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 20:09:59 | mitigator | INFO | Potential intrusion, DDoS: 8  
2024-02-14 20:09:59 | mitigator | INFO | Potential intrusion, DoS: 4  
2024-02-14 20:09:59 | mitigator | INFO | Potential intrusion, Recon: 1  
2024-02-14 20:09:59 | mitigator | INFO | Detection Simple Summary as follow, from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, the device experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-02-14 20:09:59 | mitigator | INFO | Processing file: suspicious_device_202402102340.csv
2024-02-14 20:09:59 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-02-14 20:09:59 | mitigator | INFO | Potential intrusion, DDoS: 8  
2024-02-14 20:09:59 | mitigator | INFO | Potential intrusion, DoS: 4  
2024-02-14 20:09:59 | mitigator | INFO | Potential intrusion, Recon: 1  
2024-02-14 20:09:59 | mitigator | INFO | Detection Simple Summary as follow, from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, the device experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-03-07 16:24:24 | mitigator | INFO | Starting mitigator
2024-03-07 16:24:24 | mitigator | INFO | Processing file: suspicious_device_202402102330.csv
2024-03-07 16:24:24 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-03-07 16:24:24 | mitigator | WARNING | Potential intrusion, DDoS: 8  
2024-03-07 16:24:24 | mitigator | WARNING | Potential intrusion, DoS: 4  
2024-03-07 16:24:24 | mitigator | WARNING | Potential intrusion, Recon: 1  
2024-03-07 16:24:24 | mitigator | INFO | Detection Simple Summary as follow, from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, the device experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-03-07 16:24:24 | mitigator | INFO | Processing file: suspicious_device_202402102340.csv
2024-03-07 16:24:24 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-03-07 16:24:24 | mitigator | WARNING | Potential intrusion, DDoS: 8  
2024-03-07 16:24:24 | mitigator | WARNING | Potential intrusion, DoS: 4  
2024-03-07 16:24:24 | mitigator | WARNING | Potential intrusion, Recon: 1  
2024-03-07 16:24:24 | mitigator | INFO | Detection Simple Summary as follow, from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, the device experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-03-07 16:41:54 | mitigator | INFO | Starting mitigator
2024-03-07 16:41:54 | mitigator | INFO | Processing file: suspicious_device_202402102330.csv
2024-03-07 16:41:54 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-03-07 16:41:54 | mitigator | WARNING | Potential intrusion, DDoS: 8  
2024-03-07 16:41:54 | mitigator | WARNING | Potential intrusion, DoS: 4  
2024-03-07 16:41:54 | mitigator | WARNING | Potential intrusion, Recon: 1  
2024-03-07 16:41:54 | mitigator | INFO | Detection Simple Summary as follow, from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, device device experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-03-07 16:41:54 | mitigator | INFO | Processing file: suspicious_device_202402102340.csv
2024-03-07 16:41:54 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-03-07 16:41:54 | mitigator | WARNING | Potential intrusion, DDoS: 8  
2024-03-07 16:41:54 | mitigator | WARNING | Potential intrusion, DoS: 4  
2024-03-07 16:41:54 | mitigator | WARNING | Potential intrusion, Recon: 1  
2024-03-07 16:41:54 | mitigator | INFO | Detection Simple Summary as follow, from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, device device experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-03-07 17:07:50 | mitigator | INFO | Starting mitigator
2024-03-07 17:07:50 | mitigator | INFO | Processing file: suspicious_device-a_202402102330.csv
2024-03-07 17:07:50 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-03-07 17:07:50 | mitigator | WARNING | Potential intrusion, DDoS: 8  
2024-03-07 17:07:50 | mitigator | WARNING | Potential intrusion, DoS: 4  
2024-03-07 17:07:50 | mitigator | WARNING | Potential intrusion, Recon: 1  
2024-03-07 17:07:50 | mitigator | INFO | Detection Simple Summary as follow, from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, device device-a experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-03-07 17:07:50 | mitigator | INFO | Writing to template and notify admins.
2024-03-07 17:07:50 | mitigator | INFO | Processing file: suspicious_device-b_202402102340.csv
2024-03-07 17:07:50 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-03-07 17:07:50 | mitigator | WARNING | Potential intrusion, DDoS: 8  
2024-03-07 17:07:50 | mitigator | WARNING | Potential intrusion, DoS: 4  
2024-03-07 17:07:50 | mitigator | WARNING | Potential intrusion, Recon: 1  
2024-03-07 17:07:50 | mitigator | INFO | Detection Simple Summary as follow, from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, device device-b experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-03-07 17:07:50 | mitigator | INFO | Writing to template and notify admins.
2024-03-07 17:09:23 | mitigator | INFO | Starting mitigator
2024-03-07 17:09:23 | mitigator | INFO | Processing file: suspicious_device-a_202402102330.csv
2024-03-07 17:09:23 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-03-07 17:09:23 | mitigator | WARNING | Potential intrusion, DDoS: 8  
2024-03-07 17:09:23 | mitigator | WARNING | Potential intrusion, DoS: 4  
2024-03-07 17:09:23 | mitigator | WARNING | Potential intrusion, Recon: 1  
2024-03-07 17:09:23 | mitigator | INFO | Detection Simple Summary as follow, from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, device device-a experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-03-07 17:09:23 | mitigator | INFO | Writing to template and notify admins.
2024-03-07 17:09:23 | mitigator | INFO | Processing file: suspicious_device-b_202402102340.csv
2024-03-07 17:09:23 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-03-07 17:09:23 | mitigator | WARNING | Potential intrusion, DDoS: 8  
2024-03-07 17:09:23 | mitigator | WARNING | Potential intrusion, DoS: 4  
2024-03-07 17:09:23 | mitigator | WARNING | Potential intrusion, Recon: 1  
2024-03-07 17:09:23 | mitigator | INFO | Detection Simple Summary as follow, from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, device device-b experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-03-07 17:09:23 | mitigator | INFO | Writing to template and notify admins.
2024-03-07 17:11:10 | mitigator | INFO | Starting mitigator
2024-03-07 17:11:10 | mitigator | INFO | Processing file: suspicious_device-a_202402102330.csv
2024-03-07 17:11:10 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-03-07 17:11:10 | mitigator | WARNING | Potential intrusion, DDoS: 8  
2024-03-07 17:11:10 | mitigator | WARNING | Potential intrusion, DoS: 4  
2024-03-07 17:11:10 | mitigator | WARNING | Potential intrusion, Recon: 1  
2024-03-07 17:11:10 | mitigator | INFO | Detection Simple Summary as follow, from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, device device-a experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-03-07 17:11:10 | mitigator | INFO | Writing to template and notify admins.
2024-03-07 17:11:10 | mitigator | INFO | Processing file: suspicious_device-b_202402102340.csv
2024-03-07 17:11:10 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-03-07 17:11:10 | mitigator | WARNING | Potential intrusion, DDoS: 8  
2024-03-07 17:11:10 | mitigator | WARNING | Potential intrusion, DoS: 4  
2024-03-07 17:11:10 | mitigator | WARNING | Potential intrusion, Recon: 1  
2024-03-07 17:11:10 | mitigator | INFO | Detection Simple Summary as follow, from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, device device-b experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-03-07 17:11:10 | mitigator | INFO | Writing to template and notify admins.
2024-03-07 17:11:39 | mitigator | INFO | Starting mitigator
2024-03-07 17:11:39 | mitigator | INFO | Processing file: suspicious_device-a_202402102330.csv
2024-03-07 17:11:39 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-03-07 17:11:39 | mitigator | WARNING | Potential intrusion, DDoS: 8  
2024-03-07 17:11:39 | mitigator | WARNING | Potential intrusion, DoS: 4  
2024-03-07 17:11:39 | mitigator | WARNING | Potential intrusion, Recon: 1  
2024-03-07 17:11:39 | mitigator | INFO | Detection Simple Summary as follow, from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, device device-a experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-03-07 17:11:39 | mitigator | INFO | Writing to template and notify admins.
2024-03-07 17:11:39 | mitigator | INFO | Processing file: suspicious_device-b_202402102340.csv
2024-03-07 17:11:39 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-03-07 17:11:39 | mitigator | WARNING | Potential intrusion, DDoS: 8  
2024-03-07 17:11:39 | mitigator | WARNING | Potential intrusion, DoS: 4  
2024-03-07 17:11:39 | mitigator | WARNING | Potential intrusion, Recon: 1  
2024-03-07 17:11:39 | mitigator | INFO | Detection Simple Summary as follow, from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, device device-b experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-03-07 17:11:39 | mitigator | INFO | Writing to template and notify admins.
2024-03-07 17:11:53 | mitigator | INFO | Starting mitigator
2024-03-07 17:11:53 | mitigator | INFO | Processing file: suspicious_device-a_202402102330.csv
2024-03-07 17:11:53 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-03-07 17:11:53 | mitigator | WARNING | Potential intrusion, DDoS: 8  
2024-03-07 17:11:53 | mitigator | WARNING | Potential intrusion, DoS: 4  
2024-03-07 17:11:53 | mitigator | WARNING | Potential intrusion, Recon: 1  
2024-03-07 17:11:53 | mitigator | INFO | Detection Simple Summary as follow, from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, device device-a experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-03-07 17:11:53 | mitigator | INFO | Writing to template and notify admins.
2024-03-07 17:11:53 | mitigator | INFO | Processing file: suspicious_device-b_202402102340.csv
2024-03-07 17:11:53 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-03-07 17:11:53 | mitigator | WARNING | Potential intrusion, DDoS: 8  
2024-03-07 17:11:53 | mitigator | WARNING | Potential intrusion, DoS: 4  
2024-03-07 17:11:53 | mitigator | WARNING | Potential intrusion, Recon: 1  
2024-03-07 17:11:53 | mitigator | INFO | Detection Simple Summary as follow, from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, device device-b experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-03-07 17:11:53 | mitigator | INFO | Writing to template and notify admins.
2024-03-07 17:12:36 | mitigator | INFO | Starting mitigator
2024-03-07 17:12:36 | mitigator | INFO | Processing file: suspicious_device-a_202402102330.csv
2024-03-07 17:12:36 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-03-07 17:12:36 | mitigator | WARNING | Potential intrusion, DDoS: 8  
2024-03-07 17:12:36 | mitigator | WARNING | Potential intrusion, DoS: 4  
2024-03-07 17:12:36 | mitigator | WARNING | Potential intrusion, Recon: 1  
2024-03-07 17:12:36 | mitigator | INFO | Detection Simple Summary as follow, from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, device device-a experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-03-07 17:12:36 | mitigator | INFO | Writing to template and notify admins.
2024-03-07 17:12:36 | mitigator | INFO | Processing file: suspicious_device-b_202402102340.csv
2024-03-07 17:12:36 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-03-07 17:12:36 | mitigator | WARNING | Potential intrusion, DDoS: 8  
2024-03-07 17:12:36 | mitigator | WARNING | Potential intrusion, DoS: 4  
2024-03-07 17:12:36 | mitigator | WARNING | Potential intrusion, Recon: 1  
2024-03-07 17:12:36 | mitigator | INFO | Detection Simple Summary as follow, from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, device device-b experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-03-07 17:12:36 | mitigator | INFO | Writing to template and notify admins.
2024-03-07 17:12:56 | mitigator | INFO | Starting mitigator
2024-03-07 17:12:56 | mitigator | INFO | Processing file: suspicious_device-a_202402102330.csv
2024-03-07 17:12:56 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056
2024-03-07 17:12:56 | mitigator | WARNING | Potential intrusion, DDoS: 8  
2024-03-07 17:12:56 | mitigator | WARNING | Potential intrusion, DoS: 4  
2024-03-07 17:12:56 | mitigator | WARNING | Potential intrusion, Recon: 1  
2024-03-07 17:12:56 | mitigator | INFO | Detection Simple Summary as follow, from 2024-01-31 08:40:36.912938240 to 2024-01-31 08:42:35.542157056, device device-a experienced potential instrusion of DDoS: 8  DoS: 4  Recon: 1  
2024-03-07 17:12:56 | mitigator | INFO | Writing to template and notify admins.
